Census Tract,Year,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
"Census Tract 36.02, Multnomah County, Oregon",2020,"5,223",58,1,42,609,1591,"1,855",1067
"Census Tract 36.03, Multnomah County, Oregon",2020,"1,487",68,18,0,327,303,535,236
"Census Tract 37.01, Multnomah County, Oregon",2020,"3,503",141,57,148,543,918,"1,116",580
"Census Tract 37.02, Multnomah County, Oregon",2020,"2,260",0,0,0,287,555,927,491
"Census Tract 38.01, Multnomah County, Oregon",2020,"2,228",28,0,7,310,668,778,437
"Census Tract 38.02, Multnomah County, Oregon",2020,"2,688",32,0,40,395,735,965,521
"Census Tract 38.03, Multnomah County, Oregon",2020,"3,487",9,40,41,379,846,"1,652",520
"Census Tract 39.02, Multnomah County, Oregon",2020,"2,886",7,0,21,367,763,955,773
"Census Tract 39.03, Multnomah County, Oregon",2020,"2,900",0,0,149,718,686,771,576
"Census Tract 39.04, Multnomah County, Oregon",2020,"3,142",27,22,22,460,967,"1,025",619
"Census Tract 40.02, Multnomah County, Oregon",2020,"2,990",14,0,5,528,655,966,822
"Census Tract 40.03, Multnomah County, Oregon",2020,"5,051",314,124,73,1600,1432,"1,156",352
"Census Tract 41.02, Multnomah County, Oregon",2020,"4,492",59,11,26,1233,847,"1,529",787
"Census Tract 41.03, Multnomah County, Oregon",2020,"3,380",47,47,0,652,1076,"1,178",380
"Census Tract 41.04, Multnomah County, Oregon",2020,"2,204",0,82,64,792,681,433,152
"Census Tract 42, Multnomah County, Oregon",2020,"3,337",0,0,6,705,879,"1,232",515
"Census Tract 43, Multnomah County, Oregon",2020,843,7,0,0,179,130,255,272
"Census Tract 45, Multnomah County, Oregon",2020,"2,403",41,0,0,139,328,884,1011
"Census Tract 46.01, Multnomah County, Oregon",2020,"2,747",23,0,0,167,322,924,1311
"Census Tract 46.02, Multnomah County, Oregon",2020,"1,536",9,2,0,60,163,570,732
"Census Tract 47, Multnomah County, Oregon",2020,"3,745",0,0,16,358,469,"1,737",1165
"Census Tract 48, Multnomah County, Oregon",2020,"2,230",1,0,12,230,526,992,469
"Census Tract 49.01, Multnomah County, Oregon",2020,"2,122",0,0,1,140,330,"1,148",503
"Census Tract 49.02, Multnomah County, Oregon",2020,"1,977",0,0,0,271,512,677,517
"Census Tract 50.01, Multnomah County, Oregon",2020,"2,605",0,0,29,155,268,"1,104",1049
"Census Tract 50.02, Multnomah County, Oregon",2020,612,0,0,0,0,154,314,144
"Census Tract 51.01, Multnomah County, Oregon",2020,"2,961",0,0,0,286,625,"1,102",948
"Census Tract 51.02, Multnomah County, Oregon",2020,"2,993",0,0,0,192,272,"1,428",1101
"Census Tract 51.03, Multnomah County, Oregon",2020,"2,645",0,0,26,1159,721,330,409
"Census Tract 52.01, Multnomah County, Oregon",2020,"1,629",18,22,8,207,595,445,334
"Census Tract 52.02, Multnomah County, Oregon",2020,"2,195",0,0,0,216,303,"1,062",614
"Census Tract 55, Multnomah County, Oregon",2020,"2,053",39,0,8,282,480,656,588
"Census Tract 56.01, Multnomah County, Oregon",2020,"2,240",22,169,15,277,521,681,555
"Census Tract 56.02, Multnomah County, Oregon",2020,854,29,0,30,184,250,288,73
"Census Tract 57.01, Multnomah County, Oregon",2020,352,0,0,0,67,35,186,64
"Census Tract 57.02, Multnomah County, Oregon",2020,"3,139",47,7,24,146,543,"1,301",1071
"Census Tract 58, Multnomah County, Oregon",2020,"3,729",1,0,24,150,691,"1,352",1511
"Census Tract 59.01, Multnomah County, Oregon",2020,"1,940",0,44,15,91,404,766,620
"Census Tract 59.02, Multnomah County, Oregon",2020,"2,988",0,0,0,106,549,"1,066",1267
"Census Tract 59.03, Multnomah County, Oregon",2020,"2,505",0,0,0,75,254,"1,177",999
"Census Tract 60.01, Multnomah County, Oregon",2020,"1,187",0,0,0,58,177,509,443
"Census Tract 60.02, Multnomah County, Oregon",2020,"1,895",0,0,0,153,291,813,638
"Census Tract 61, Multnomah County, Oregon",2020,"2,057",8,0,6,190,236,859,758
"Census Tract 62, Multnomah County, Oregon",2020,"2,545",2,0,1,191,698,972,681
"Census Tract 63, Multnomah County, Oregon",2020,"3,257",7,0,0,226,591,"1,287",1146
"Census Tract 64.02, Multnomah County, Oregon",2020,"4,463",0,32,0,282,798,"1,582",1769
"Census Tract 64.03, Multnomah County, Oregon",2020,"2,904",60,0,65,468,881,"1,086",344
"Census Tract 64.04, Multnomah County, Oregon",2020,"2,810",8,0,0,315,752,951,784
"Census Tract 65.01, Multnomah County, Oregon",2020,"4,556",0,0,20,528,1098,"1,755",1155
"Census Tract 65.02, Multnomah County, Oregon",2020,"3,753",0,0,1,336,1139,"1,271",1006
"Census Tract 66.01, Multnomah County, Oregon",2020,"2,187",0,0,0,131,482,905,669
"Census Tract 66.02, Multnomah County, Oregon",2020,"4,174",0,0,43,359,807,"1,691",1274
"Census Tract 67.01, Multnomah County, Oregon",2020,"2,398",6,0,0,281,445,"1,051",615
"Census Tract 67.02, Multnomah County, Oregon",2020,"2,413",12,0,75,215,543,917,651
"Census Tract 68.01, Multnomah County, Oregon",2020,"1,533",0,0,13,213,262,485,560
"Census Tract 68.02, Multnomah County, Oregon",2020,"2,572",81,0,8,187,574,756,966
"Census Tract 69, Multnomah County, Oregon",2020,"2,046",0,0,0,92,339,877,738
"Census Tract 70.01, Multnomah County, Oregon",2020,"3,697",0,0,0,197,516,"1,334",1650
"Census Tract 70.02, Multnomah County, Oregon",2020,"2,545",11,0,0,105,402,949,1078
"Census Tract 71, Multnomah County, Oregon",2020,"2,006",42,49,0,334,754,542,285
"Census Tract 72.01, Multnomah County, Oregon",2020,"2,043",22,17,9,582,717,380,316
"Census Tract 72.02, Multnomah County, Oregon",2020,"2,432",58,44,87,458,945,578,262
"Census Tract 73, Multnomah County, Oregon",2020,925,0,5,53,423,401,36,7
"Census Tract 74, Multnomah County, Oregon",2020,"2,241",3,0,131,616,667,508,316
"Census Tract 75, Multnomah County, Oregon",2020,"3,659",45,5,20,865,961,"1,167",596
"Census Tract 76, Multnomah County, Oregon",2020,"2,454",115,18,192,617,756,502,254
"Census Tract 77, Multnomah County, Oregon",2020,"1,740",13,24,46,555,551,445,106
"Census Tract 78, Multnomah County, Oregon",2020,"1,771",53,3,0,578,601,345,191
"Census Tract 79, Multnomah County, Oregon",2020,"3,194",167,0,62,1030,1093,589,253
"Census Tract 80.01, Multnomah County, Oregon",2020,"2,181",80,0,0,704,747,436,214
"Census Tract 80.02, Multnomah County, Oregon",2020,"1,775",88,11,72,501,612,357,134
"Census Tract 81, Multnomah County, Oregon",2020,"6,381",138,67,112,2783,1615,"1,196",470
"Census Tract 82.01, Multnomah County, Oregon",2020,"2,471",234,13,47,499,731,601,346
"Census Tract 82.03, Multnomah County, Oregon",2020,"3,936",0,103,72,1309,1487,560,405
"Census Tract 82.04, Multnomah County, Oregon",2020,"2,039",140,26,289,906,490,104,84
"Census Tract 83.01, Multnomah County, Oregon",2020,"3,139",317,41,116,913,948,566,238
"Census Tract 83.02, Multnomah County, Oregon",2020,"3,805",100,127,91,1299,1354,534,300
"Census Tract 84, Multnomah County, Oregon",2020,"3,234",202,51,171,1002,1167,495,146
"Census Tract 85, Multnomah County, Oregon",2020,"3,192",102,45,0,1309,1153,419,164
"Census Tract 86, Multnomah County, Oregon",2020,"3,218",78,35,76,978,1264,516,271
"Census Tract 87, Multnomah County, Oregon",2020,"3,961",168,80,18,1375,963,858,499
"Census Tract 88, Multnomah County, Oregon",2020,"3,230",0,4,61,1041,1055,717,352
"Census Tract 89.02, Multnomah County, Oregon",2020,"3,085",34,84,0,1199,1050,540,178
"Census Tract 89.03, Multnomah County, Oregon",2020,"3,378",67,39,42,807,1040,697,686
"Census Tract 89.04, Multnomah County, Oregon",2020,"3,686",165,68,144,1185,1365,455,304
"Census Tract 90.01, Multnomah County, Oregon",2020,"3,976",68,0,116,1826,1482,324,160
"Census Tract 90.02, Multnomah County, Oregon",2020,"3,239",26,101,97,1263,1247,234,271
"Census Tract 91.01, Multnomah County, Oregon",2020,"4,031",83,69,140,1835,1446,397,61
"Census Tract 91.02, Multnomah County, Oregon",2020,"4,474",94,75,194,1649,1663,477,322
"Census Tract 92.02, Multnomah County, Oregon",2020,"3,603",125,143,182,1122,1356,477,198
"Census Tract 92.03, Multnomah County, Oregon",2020,"2,605",127,0,4,1147,635,386,306
"Census Tract 92.04, Multnomah County, Oregon",2020,"2,882",99,49,40,972,1243,419,60
"Census Tract 93.01, Multnomah County, Oregon",2020,"4,422",127,24,161,1501,1723,601,285
"Census Tract 93.02, Multnomah County, Oregon",2020,"3,387",22,0,41,1156,1273,646,249
"Census Tract 94, Multnomah County, Oregon",2020,"5,440",79,25,81,1395,1979,"1,310",571
"Census Tract 95.01, Multnomah County, Oregon",2020,"3,233",67,0,56,1146,1075,625,264
"Census Tract 95.02, Multnomah County, Oregon",2020,"2,868",9,0,4,793,772,841,449
"Census Tract 96.03, Multnomah County, Oregon",2020,"2,297",40,32,18,855,1039,213,100
"Census Tract 96.04, Multnomah County, Oregon",2020,"3,121",285,131,76,909,1405,236,79
"Census Tract 96.05, Multnomah County, Oregon",2020,"3,760",67,12,238,1344,1259,513,327
"Census Tract 96.06, Multnomah County, Oregon",2020,"3,502",123,63,359,1411,1096,254,196
"Census Tract 97.01, Multnomah County, Oregon",2020,"3,382",37,30,133,1192,1523,339,128
"Census Tract 97.03, Multnomah County, Oregon",2020,"3,270",82,58,275,1310,1242,199,104
"Census Tract 97.04, Multnomah County, Oregon",2020,"2,777",7,8,362,1062,1039,299,0
"Census Tract 98.01, Multnomah County, Oregon",2020,"2,520",91,84,76,1125,815,224,105
"Census Tract 98.03, Multnomah County, Oregon",2020,"4,848",226,119,154,1519,1854,713,263
"Census Tract 98.04, Multnomah County, Oregon",2020,"2,300",147,15,109,807,793,371,58
"Census Tract 99.03, Multnomah County, Oregon",2020,"5,192",148,0,136,1165,1878,"1,060",805
"Census Tract 99.04, Multnomah County, Oregon",2020,"2,513",0,41,0,836,1080,422,134
"Census Tract 99.05, Multnomah County, Oregon",2020,"2,129",0,0,10,686,830,400,203
"Census Tract 99.06, Multnomah County, Oregon",2020,"2,899",21,0,36,603,980,919,340
"Census Tract 99.07, Multnomah County, Oregon",2020,"4,148",92,34,93,1350,1345,668,566
"Census Tract 100.01, Multnomah County, Oregon",2020,"4,179",57,21,147,1480,1338,692,444
"Census Tract 100.02, Multnomah County, Oregon",2020,"4,097",88,0,11,1129,1827,622,420
"Census Tract 101.01, Multnomah County, Oregon",2020,"2,868",12,61,0,1122,1203,335,135
"Census Tract 101.02, Multnomah County, Oregon",2020,"3,123",0,131,0,1122,1215,404,251
"Census Tract 102, Multnomah County, Oregon",2020,"4,768",179,46,80,1704,1571,857,331
"Census Tract 103.03, Multnomah County, Oregon",2020,"3,720",0,62,119,1261,1357,601,320
"Census Tract 103.04, Multnomah County, Oregon",2020,"2,816",101,119,184,1132,914,213,153
"Census Tract 103.05, Multnomah County, Oregon",2020,"2,454",56,15,9,735,973,493,173
"Census Tract 103.06, Multnomah County, Oregon",2020,"3,123",53,0,28,1005,1217,644,176
"Census Tract 104.02, Multnomah County, Oregon",2020,"4,522",104,54,69,1296,1842,888,269
"Census Tract 104.05, Multnomah County, Oregon",2020,"4,240",37,95,91,1419,1538,694,366
"Census Tract 104.07, Multnomah County, Oregon",2020,"3,722",50,0,140,1149,1660,375,348
"Census Tract 104.08, Multnomah County, Oregon",2020,"3,920",65,37,117,1624,1417,494,166
"Census Tract 104.10, Multnomah County, Oregon",2020,"2,885",21,37,32,1284,925,456,130
"Census Tract 104.11, Multnomah County, Oregon",2020,"2,233",59,20,21,957,907,206,63
"Census Tract 104.12, Multnomah County, Oregon",2020,"2,212",10,0,0,806,735,547,114
"Census Tract 104.13, Multnomah County, Oregon",2020,"3,417",14,0,105,811,1460,533,494
"Census Tract 105, Multnomah County, Oregon",2020,"2,883",43,0,26,626,937,836,415
"Census Tract 106.01, Multnomah County, Oregon",2020,"1,296",29,13,56,256,423,258,261
"Census Tract 106.02, Multnomah County, Oregon",2020,"1,810",27,18,47,421,945,199,153
"Census Tract 9800, Multnomah County, Oregon",2020,0,0,0,0,0,0,0,0
"Census Tract 1.01, Multnomah County, Oregon",2021,"2,114",0,0,1,186,388,957,582
"Census Tract 1.02, Multnomah County, Oregon",2021,"2,805",0,0,0,318,461,"1,166",860
"Census Tract 2.01, Multnomah County, Oregon",2021,"2,515",43,0,0,568,610,811,483
"Census Tract 2.02, Multnomah County, Oregon",2021,"2,320",16,17,15,215,700,663,694
"Census Tract 3.01, Multnomah County, Oregon",2021,"3,738",0,0,31,737,1036,"1,071",863
"Census Tract 3.02, Multnomah County, Oregon",2021,"5,331",61,0,0,309,994,"1,777",2190
"Census Tract 4.01, Multnomah County, Oregon",2021,"2,628",7,10,10,390,670,819,722
"Census Tract 4.02, Multnomah County, Oregon",2021,"2,710",12,0,0,523,786,881,508
"Census Tract 5.01, Multnomah County, Oregon",2021,"3,166",27,18,121,581,773,"1,078",568
"Census Tract 5.02, Multnomah County, Oregon",2021,"3,813",137,17,56,588,1306,"1,113",596
"Census Tract 6.01, Multnomah County, Oregon",2021,"4,083",97,40,79,1361,1230,871,405
"Census Tract 6.02, Multnomah County, Oregon",2021,"4,407",139,9,143,1751,1154,821,390
"Census Tract 7.01, Multnomah County, Oregon",2021,"3,757",41,28,25,576,1154,"1,226",707
"Census Tract 7.02, Multnomah County, Oregon",2021,"4,727",238,24,0,1029,1379,"1,191",866
"Census Tract 8.01, Multnomah County, Oregon",2021,"3,964",36,16,0,468,1236,"1,333",875
"Census Tract 8.02, Multnomah County, Oregon",2021,"3,729",16,0,96,653,1188,"1,367",409
"Census Tract 9.01, Multnomah County, Oregon",2021,"3,315",7,0,0,200,739,"1,497",872
"Census Tract 9.02, Multnomah County, Oregon",2021,"4,218",114,56,105,732,1387,"1,214",610
"Census Tract 10, Multnomah County, Oregon",2021,"4,666",91,0,54,562,1284,"1,353",1322
"Census Tract 11.01, Multnomah County, Oregon",2021,"2,589",9,0,3,434,814,939,390
"Census Tract 11.02, Multnomah County, Oregon",2021,"1,140",6,0,0,85,259,450,340
"Census Tract 12.02, Multnomah County, Oregon",2021,"2,844",0,0,0,427,613,943,861
"Census Tract 12.03, Multnomah County, Oregon",2021,"2,489",0,0,28,362,596,"1,158",345
"Census Tract 12.04, Multnomah County, Oregon",2021,"2,364",8,0,79,254,524,"1,030",469
"Census Tract 13.01, Multnomah County, Oregon",2021,"3,343",40,5,0,255,767,"1,510",766
"Census Tract 13.02, Multnomah County, Oregon",2021,"2,877",10,0,0,174,532,"1,199",962
"Census Tract 14, Multnomah County, Oregon",2021,"4,906",45,0,16,412,1328,"1,932",1173
"Census Tract 15, Multnomah County, Oregon",2021,"2,650",5,0,0,205,583,910,947
"Census Tract 16.01, Multnomah County, Oregon",2021,"4,396",22,10,36,957,955,"1,420",996
"Census Tract 16.02, Multnomah County, Oregon",2021,"3,758",81,36,0,874,998,"1,344",425
"Census Tract 17.02, Multnomah County, Oregon",2021,"2,847",72,24,23,546,946,888,348
"Census Tract 17.03, Multnomah County, Oregon",2021,"3,217",38,0,0,486,843,"1,118",732
"Census Tract 17.04, Multnomah County, Oregon",2021,"2,091",15,0,0,703,394,516,463
"Census Tract 18.01, Multnomah County, Oregon",2021,"3,748",41,27,0,837,923,"1,111",809
"Census Tract 18.02, Multnomah County, Oregon",2021,"2,861",0,0,21,345,805,"1,029",661
"Census Tract 19, Multnomah County, Oregon",2021,"3,604",9,8,4,296,623,"1,374",1290
"Census Tract 20.01, Multnomah County, Oregon",2021,"2,105",13,0,0,220,323,"1,163",386
"Census Tract 20.02, Multnomah County, Oregon",2021,"2,979",5,0,0,393,761,"1,119",701
"Census Tract 21.01, Multnomah County, Oregon",2021,"1,463",0,0,20,181,223,709,330
"Census Tract 21.02, Multnomah County, Oregon",2021,"1,895",0,0,0,168,498,901,328
"Census Tract 22.03, Multnomah County, Oregon",2021,"3,695",10,0,22,464,612,"1,174",1413
"Census Tract 23.03, Multnomah County, Oregon",2021,"3,171",19,0,0,482,929,"1,175",566
"Census Tract 24.01, Multnomah County, Oregon",2021,"2,332",0,0,15,265,295,807,950
"Census Tract 24.02, Multnomah County, Oregon",2021,"2,845",0,0,0,444,573,"1,240",588
"Census Tract 25.01, Multnomah County, Oregon",2021,"3,534",14,0,6,147,437,"1,366",1564
"Census Tract 25.02, Multnomah County, Oregon",2021,"3,651",38,0,0,312,752,"1,555",994
"Census Tract 26, Multnomah County, Oregon",2021,"2,121",0,0,0,196,368,972,585
"Census Tract 27.01, Multnomah County, Oregon",2021,"2,166",0,0,0,159,354,869,784
"Census Tract 27.02, Multnomah County, Oregon",2021,"2,787",21,18,0,244,508,"1,248",748
"Census Tract 28.01, Multnomah County, Oregon",2021,"2,450",17,0,0,261,534,"1,062",576
"Census Tract 28.02, Multnomah County, Oregon",2021,"2,314",4,22,0,274,573,863,578
"Census Tract 29.01, Multnomah County, Oregon",2021,"3,932",62,12,0,634,1152,"1,540",532
"Census Tract 29.02, Multnomah County, Oregon",2021,"4,877",120,0,114,628,1419,"1,325",1271
"Census Tract 29.03, Multnomah County, Oregon",2021,"3,354",116,48,0,816,1295,695,384
"Census Tract 30, Multnomah County, Oregon",2021,"3,867",43,0,0,256,1124,"1,414",1030
"Census Tract 31, Multnomah County, Oregon",2021,"4,108",2,11,7,390,973,"1,445",1280
"Census Tract 32, Multnomah County, Oregon",2021,"3,266",0,0,21,353,442,"1,269",1181
"Census Tract 33.01, Multnomah County, Oregon",2021,"2,385",28,0,7,381,695,696,578
"Census Tract 33.02, Multnomah County, Oregon",2021,"2,947",0,0,0,826,684,766,671
"Census Tract 34.01, Multnomah County, Oregon",2021,"2,648",7,0,5,394,511,998,733
"Census Tract 34.02, Multnomah County, Oregon",2021,"3,639",0,0,27,332,585,"1,898",797
"Census Tract 35.01, Multnomah County, Oregon",2021,"2,828",33,0,16,370,603,"1,321",485
"Census Tract 35.02, Multnomah County, Oregon",2021,"2,597",10,0,0,603,380,"1,156",448
"Census Tract 36.01, Multnomah County, Oregon",2021,"3,539",25,0,0,346,1001,"1,435",732
"Census Tract 36.02, Multnomah County, Oregon",2021,"4,947",53,1,55,597,1386,"1,855",1000
"Census Tract 36.03, Multnomah County, Oregon",2021,"1,398",71,14,7,283,285,509,229
"Census Tract 37.01, Multnomah County, Oregon",2021,"3,507",124,42,132,387,988,"1,177",657
"Census Tract 37.02, Multnomah County, Oregon",2021,"2,131",0,17,4,225,489,849,547
"Census Tract 38.01, Multnomah County, Oregon",2021,"2,237",19,0,0,306,757,724,431
"Census Tract 38.02, Multnomah County, Oregon",2021,"2,507",25,0,36,402,659,952,433
"Census Tract 38.03, Multnomah County, Oregon",2021,"3,250",6,11,0,353,760,"1,525",595
"Census Tract 39.02, Multnomah County, Oregon",2021,"2,872",0,9,29,401,724,"1,014",695
"Census Tract 39.03, Multnomah County, Oregon",2021,"3,049",0,21,16,806,672,924,610
"Census Tract 39.04, Multnomah County, Oregon",2021,"3,413",0,49,29,485,1151,"1,162",537
"Census Tract 40.02, Multnomah County, Oregon",2021,"3,224",15,0,16,536,846,"1,023",788
"Census Tract 40.03, Multnomah County, Oregon",2021,"4,817",158,97,98,1577,1470,962,455
"Census Tract 41.02, Multnomah County, Oregon",2021,"4,107",67,0,40,984,888,"1,416",712
"Census Tract 41.03, Multnomah County, Oregon",2021,"3,200",20,21,12,645,881,"1,114",507
"Census Tract 41.04, Multnomah County, Oregon",2021,"2,111",35,126,54,521,767,398,210
"Census Tract 42, Multnomah County, Oregon",2021,"3,548",14,0,37,672,1058,"1,287",480
"Census Tract 43, Multnomah County, Oregon",2021,824,6,0,0,152,149,279,238
"Census Tract 45, Multnomah County, Oregon",2021,"2,511",38,0,0,122,494,878,979
"Census Tract 46.01, Multnomah County, Oregon",2021,"2,788",19,0,0,135,293,984,1357
"Census Tract 46.02, Multnomah County, Oregon",2021,"1,550",0,3,0,58,216,583,690
"Census Tract 47, Multnomah County, Oregon",2021,"3,361",0,20,18,459,486,"1,363",1015
"Census Tract 48, Multnomah County, Oregon",2021,"2,207",1,0,11,248,548,905,494
"Census Tract 49.01, Multnomah County, Oregon",2021,"2,595",0,0,1,101,542,"1,295",656
"Census Tract 49.02, Multnomah County, Oregon",2021,"1,857",0,0,0,216,520,712,409
"Census Tract 50.01, Multnomah County, Oregon",2021,"2,825",0,0,22,178,335,"1,262",1028
"Census Tract 50.02, Multnomah County, Oregon",2021,846,0,0,0,0,230,389,227
"Census Tract 51.01, Multnomah County, Oregon",2021,"3,145",0,0,0,389,656,985,1115
"Census Tract 51.02, Multnomah County, Oregon",2021,"2,654",0,0,0,239,340,911,1164
"Census Tract 51.03, Multnomah County, Oregon",2021,"2,214",0,0,22,978,517,385,312
"Census Tract 52.01, Multnomah County, Oregon",2021,"1,682",0,16,12,239,643,457,315
"Census Tract 52.02, Multnomah County, Oregon",2021,"2,320",14,0,0,183,169,"1,189",765
"Census Tract 55, Multnomah County, Oregon",2021,"2,040",50,0,9,298,450,720,513
"Census Tract 56.01, Multnomah County, Oregon",2021,"2,234",66,108,53,236,458,737,576
"Census Tract 56.02, Multnomah County, Oregon",2021,846,30,0,38,206,265,227,80
"Census Tract 57.01, Multnomah County, Oregon",2021,361,0,0,0,65,53,154,89
"Census Tract 57.02, Multnomah County, Oregon",2021,"3,138",0,33,21,174,715,"1,269",926
"Census Tract 58, Multnomah County, Oregon",2021,"3,625",15,0,25,146,756,"1,241",1442
"Census Tract 59.01, Multnomah County, Oregon",2021,"2,199",0,0,22,38,549,"1,042",548
"Census Tract 59.02, Multnomah County, Oregon",2021,"2,914",0,0,0,69,341,"1,029",1475
"Census Tract 59.03, Multnomah County, Oregon",2021,"2,723",0,0,0,97,520,"1,176",930
"Census Tract 60.01, Multnomah County, Oregon",2021,"1,194",0,0,0,33,151,567,443
