Census Tract,Year,Education Total,No Formal Education,Elementary School,Middle School,High School,Some college/no degree,Bachelor's degree,Graduate Degree
Census Tract 90.02; Multnomah County; Oregon,2022,"2,907",123,88,103,825,1207,422,139
Census Tract 91.01; Multnomah County; Oregon,2022,"4,170",302,153,134,1655,1191,631,104
Census Tract 91.02; Multnomah County; Oregon,2022,"4,417",105,49,105,1740,1386,611,421
Census Tract 92.02; Multnomah County; Oregon,2022,"4,195",129,160,127,1579,1494,413,293
Census Tract 92.03; Multnomah County; Oregon,2022,"2,186",52,60,36,694,556,479,309
Census Tract 92.04; Multnomah County; Oregon,2022,"3,091",99,30,43,1074,1132,632,81
Census Tract 93.01; Multnomah County; Oregon,2022,"3,810",86,43,103,1385,1366,725,102
Census Tract 93.02; Multnomah County; Oregon,2022,"3,651",98,0,0,1019,1468,734,332
Census Tract 94; Multnomah County; Oregon,2022,"5,491",94,40,87,1072,2027,"1,590",581
Census Tract 95.01; Multnomah County; Oregon,2022,"3,251",148,10,31,1033,1063,650,316
Census Tract 95.02; Multnomah County; Oregon,2022,"2,731",92,0,22,826,735,652,404
Census Tract 96.03; Multnomah County; Oregon,2022,"2,441",120,20,78,992,898,222,111
Census Tract 96.04; Multnomah County; Oregon,2022,"3,859",407,187,171,1200,1221,531,142
Census Tract 96.05; Multnomah County; Oregon,2022,"4,590",57,0,139,1554,1647,811,382
Census Tract 96.06; Multnomah County; Oregon,2022,"3,632",134,51,325,1543,1019,315,245
Census Tract 97.01; Multnomah County; Oregon,2022,"3,180",71,23,80,1188,1330,262,226
Census Tract 97.03; Multnomah County; Oregon,2022,"3,633",167,45,259,1186,1416,381,179
Census Tract 97.04; Multnomah County; Oregon,2022,"2,590",0,15,292,1115,808,307,53
Census Tract 98.01; Multnomah County; Oregon,2022,"2,586",134,53,22,748,1186,298,145
Census Tract 98.03; Multnomah County; Oregon,2022,"5,168",107,180,93,1923,1828,710,327
Census Tract 98.04; Multnomah County; Oregon,2022,"2,384",191,0,125,853,808,255,152
Census Tract 99.03; Multnomah County; Oregon,2022,"5,721",158,0,125,1449,2091,"1,224",674
Census Tract 99.04; Multnomah County; Oregon,2022,"2,493",40,36,40,740,1037,442,158
Census Tract 99.05; Multnomah County; Oregon,2022,"2,230",0,0,36,793,850,329,222
Census Tract 99.06; Multnomah County; Oregon,2022,"2,994",43,12,0,438,1124,"1,009",368
Census Tract 99.07; Multnomah County; Oregon,2022,"4,000",40,37,49,1430,1335,660,449
Census Tract 100.01; Multnomah County; Oregon,2022,"4,472",109,0,85,1614,1507,604,553
Census Tract 100.02; Multnomah County; Oregon,2022,"4,067",86,0,42,1090,1823,740,286
Census Tract 101.01; Multnomah County; Oregon,2022,"2,864",0,89,105,1054,1102,314,200
Census Tract 101.02; Multnomah County; Oregon,2022,"3,152",19,232,95,778,1096,601,331
Census Tract 102; Multnomah County; Oregon,2022,"5,302",82,68,84,1713,2119,916,320
Census Tract 103.03; Multnomah County; Oregon,2022,"3,751",89,35,111,1122,1342,566,486
Census Tract 103.04; Multnomah County; Oregon,2022,"3,097",109,101,261,1341,899,209,177
Census Tract 103.05; Multnomah County; Oregon,2022,"2,395",119,17,0,711,1027,391,130
Census Tract 103.06; Multnomah County; Oregon,2022,"3,199",109,0,0,1104,1217,637,132
Census Tract 104.02; Multnomah County; Oregon,2022,"4,150",112,57,54,1154,1552,851,370
Census Tract 104.05; Multnomah County; Oregon,2022,"4,113",37,78,0,1683,1532,451,332
Census Tract 104.07; Multnomah County; Oregon,2022,"4,092",50,0,65,1244,1751,629,353
Census Tract 104.08; Multnomah County; Oregon,2022,"4,538",49,40,136,1937,1535,774,67
Census Tract 104.10; Multnomah County; Oregon,2022,"3,313",24,0,63,1510,1110,354,252
Census Tract 104.11; Multnomah County; Oregon,2022,"2,486",59,0,0,1126,984,168,149
Census Tract 104.12; Multnomah County; Oregon,2022,"2,201",9,0,0,802,757,505,128
Census Tract 104.13; Multnomah County; Oregon,2022,"3,417",118,0,71,844,1339,570,475
Census Tract 105; Multnomah County; Oregon,2022,"2,723",5,0,11,608,920,847,332
Census Tract 106.01; Multnomah County; Oregon,2022,"1,305",25,0,52,208,510,216,294
Census Tract 106.02; Multnomah County; Oregon,2022,"1,879",0,0,56,604,767,321,131
Census Tract 9800; Multnomah County; Oregon,2022,0,0,0,0,0,0,0,0
Census Tract 1.01; Multnomah County; Oregon,2023,"2,445",0,0,0,209,416,"1,055",765
Census Tract 1.02; Multnomah County; Oregon,2023,"2,871",0,0,0,268,563,"1,091",949
Census Tract 2.01; Multnomah County; Oregon,2023,"2,796",32,0,29,451,583,945,756
Census Tract 2.02; Multnomah County; Oregon,2023,"2,666",37,12,13,307,611,"1,003",683
Census Tract 3.01; Multnomah County; Oregon,2023,"3,494",0,0,25,509,933,"1,129",898
Census Tract 3.02; Multnomah County; Oregon,2023,"5,322",59,0,0,338,871,"1,977",2077
Census Tract 4.01; Multnomah County; Oregon,2023,"2,832",40,0,0,403,557,"1,093",739
Census Tract 4.02; Multnomah County; Oregon,2023,"2,628",12,0,0,383,684,951,598
Census Tract 5.01; Multnomah County; Oregon,2023,"3,248",24,8,109,573,762,"1,226",546
Census Tract 5.02; Multnomah County; Oregon,2023,"3,526",119,3,58,540,1137,988,681
Census Tract 6.01; Multnomah County; Oregon,2023,"3,968",39,21,34,1349,1089,864,572
Census Tract 6.02; Multnomah County; Oregon,2023,"4,245",180,0,71,1794,1125,667,408
Census Tract 7.01; Multnomah County; Oregon,2023,"3,893",62,0,21,679,1192,"1,184",755
Census Tract 7.02; Multnomah County; Oregon,2023,"4,195",77,29,16,779,1182,"1,237",875
Census Tract 8.01; Multnomah County; Oregon,2023,"3,693",0,16,28,337,934,"1,191",1187
Census Tract 8.02; Multnomah County; Oregon,2023,"3,976",34,0,19,611,1158,"1,615",539
Census Tract 9.01; Multnomah County; Oregon,2023,"3,026",0,0,0,359,567,"1,347",753
Census Tract 9.02; Multnomah County; Oregon,2023,"3,742",72,10,11,435,1148,"1,301",765
Census Tract 10; Multnomah County; Oregon,2023,"4,998",14,0,49,585,1592,"1,535",1223
Census Tract 11.01; Multnomah County; Oregon,2023,"2,750",0,0,0,374,949,979,448
Census Tract 11.02; Multnomah County; Oregon,2023,"1,139",7,0,0,95,216,488,333
Census Tract 12.02; Multnomah County; Oregon,2023,"2,670",0,0,18,414,454,899,885
Census Tract 12.03; Multnomah County; Oregon,2023,"2,340",0,0,30,231,598,990,491
Census Tract 12.04; Multnomah County; Oregon,2023,"2,291",20,0,61,211,454,"1,074",471
Census Tract 13.01; Multnomah County; Oregon,2023,"3,328",16,0,0,199,678,"1,592",843
Census Tract 13.02; Multnomah County; Oregon,2023,"2,847",14,0,0,231,582,"1,047",973
Census Tract 14; Multnomah County; Oregon,2023,"4,862",103,0,15,407,1118,"1,987",1232
Census Tract 15; Multnomah County; Oregon,2023,"2,807",6,0,5,191,429,"1,089",1087
Census Tract 16.01; Multnomah County; Oregon,2023,"4,558",0,8,9,873,848,"1,698",1122
Census Tract 16.02; Multnomah County; Oregon,2023,"3,587",127,13,41,789,912,"1,259",446
Census Tract 17.02; Multnomah County; Oregon,2023,"2,839",35,16,14,530,817,"1,119",308
Census Tract 17.03; Multnomah County; Oregon,2023,"3,075",0,0,9,415,659,"1,252",740
Census Tract 17.04; Multnomah County; Oregon,2023,"2,356",13,0,16,597,376,832,522
Census Tract 18.01; Multnomah County; Oregon,2023,"3,686",11,2,0,1068,888,"1,038",679
Census Tract 18.02; Multnomah County; Oregon,2023,"2,956",11,0,14,299,726,"1,159",747
Census Tract 19; Multnomah County; Oregon,2023,"3,602",9,0,0,263,536,"1,304",1490
Census Tract 20.01; Multnomah County; Oregon,2023,"1,860",0,0,0,211,368,846,435
Census Tract 20.02; Multnomah County; Oregon,2023,"3,102",12,0,0,423,993,"1,099",575
Census Tract 21.01; Multnomah County; Oregon,2023,"1,591",0,0,0,251,309,647,384
Census Tract 21.02; Multnomah County; Oregon,2023,"2,050",0,0,0,140,516,818,576
Census Tract 22.03; Multnomah County; Oregon,2023,"3,887",0,0,0,598,625,"1,371",1293
Census Tract 23.03; Multnomah County; Oregon,2023,"3,521",27,0,19,670,1068,"1,087",650
Census Tract 24.01; Multnomah County; Oregon,2023,"2,317",0,0,17,191,293,853,963
Census Tract 24.02; Multnomah County; Oregon,2023,"3,036",0,29,0,496,571,"1,218",722
Census Tract 25.01; Multnomah County; Oregon,2023,"3,339",22,0,7,141,465,"1,294",1410
Census Tract 25.02; Multnomah County; Oregon,2023,"3,348",37,0,0,170,860,"1,436",845
Census Tract 26; Multnomah County; Oregon,2023,"2,027",0,0,0,265,336,981,445
Census Tract 27.01; Multnomah County; Oregon,2023,"2,224",11,0,18,166,452,740,837
Census Tract 27.02; Multnomah County; Oregon,2023,"2,831",0,0,0,317,628,"1,282",604
Census Tract 28.01; Multnomah County; Oregon,2023,"2,496",16,0,5,283,444,"1,107",641
Census Tract 28.02; Multnomah County; Oregon,2023,"2,234",4,15,0,240,483,955,537
Census Tract 29.01; Multnomah County; Oregon,2023,"3,879",1,0,0,444,1113,"1,671",650
Census Tract 29.02; Multnomah County; Oregon,2023,"4,906",18,64,74,671,1223,"1,456",1400
Census Tract 29.03; Multnomah County; Oregon,2023,"3,356",108,0,0,619,1370,718,541
Census Tract 30; Multnomah County; Oregon,2023,"3,794",18,0,0,356,1130,"1,382",908
Census Tract 31; Multnomah County; Oregon,2023,"4,117",1,8,0,369,998,"1,416",1325
Census Tract 32; Multnomah County; Oregon,2023,"3,317",0,0,21,379,541,"1,307",1069
Census Tract 33.01; Multnomah County; Oregon,2023,"2,231",45,0,9,279,583,838,477
Census Tract 33.02; Multnomah County; Oregon,2023,"2,956",0,0,0,675,785,765,731
Census Tract 34.01; Multnomah County; Oregon,2023,"2,798",14,0,5,463,574,"1,116",626
Census Tract 34.02; Multnomah County; Oregon,2023,"3,988",13,0,23,706,752,"1,815",679
Census Tract 35.01; Multnomah County; Oregon,2023,"3,146",15,36,13,339,643,"1,452",648
Census Tract 35.02; Multnomah County; Oregon,2023,"2,474",13,0,0,635,371,956,499
Census Tract 36.01; Multnomah County; Oregon,2023,"3,394",18,0,0,517,991,"1,247",621
Census Tract 36.02; Multnomah County; Oregon,2023,"5,020",0,26,58,509,1219,"2,168",1040
Census Tract 36.03; Multnomah County; Oregon,2023,"1,370",55,17,6,253,274,500,265
Census Tract 37.01; Multnomah County; Oregon,2023,"3,514",135,0,9,514,1068,"1,140",648
Census Tract 37.02; Multnomah County; Oregon,2023,"1,946",0,11,3,201,312,850,569
Census Tract 38.01; Multnomah County; Oregon,2023,"2,145",0,0,6,321,537,750,531
Census Tract 38.02; Multnomah County; Oregon,2023,"2,689",41,0,26,352,801,"1,065",404
Census Tract 38.03; Multnomah County; Oregon,2023,"3,211",41,0,0,402,575,"1,675",518
Census Tract 39.02; Multnomah County; Oregon,2023,"2,544",0,8,20,336,577,922,681
Census Tract 39.03; Multnomah County; Oregon,2023,"2,534",1,36,32,537,574,841,513
Census Tract 39.04; Multnomah County; Oregon,2023,"3,184",0,69,28,273,1156,"1,010",648
Census Tract 40.02; Multnomah County; Oregon,2023,"3,043",5,9,16,574,845,912,682
Census Tract 40.03; Multnomah County; Oregon,2023,"5,206",172,111,97,1397,1596,"1,177",656
Census Tract 41.02; Multnomah County; Oregon,2023,"4,053",92,0,37,871,952,"1,253",848
Census Tract 41.03; Multnomah County; Oregon,2023,"3,217",133,0,47,1170,799,639,429
Census Tract 41.04; Multnomah County; Oregon,2023,"2,030",61,0,0,635,611,455,268
Census Tract 42; Multnomah County; Oregon,2023,"3,243",5,0,13,440,928,"1,345",512
Census Tract 43; Multnomah County; Oregon,2023,881,0,0,0,158,189,266,268
Census Tract 45; Multnomah County; Oregon,2023,"2,643",37,0,0,143,502,955,1006
Census Tract 46.01; Multnomah County; Oregon,2023,"2,873",27,0,0,187,222,"1,046",1391
Census Tract 46.02; Multnomah County; Oregon,2023,"1,585",0,6,0,132,205,591,651
Census Tract 47; Multnomah County; Oregon,2023,"2,973",34,12,8,299,263,"1,329",1028
Census Tract 48; Multnomah County; Oregon,2023,"2,167",88,0,0,243,692,737,407
Census Tract 49.01; Multnomah County; Oregon,2023,"2,861",66,0,1,95,591,"1,421",687
Census Tract 49.02; Multnomah County; Oregon,2023,"1,790",0,0,0,167,609,585,429
Census Tract 50.01; Multnomah County; Oregon,2023,"3,075",0,0,35,239,361,"1,381",1059
Census Tract 50.02; Multnomah County; Oregon,2023,"1,138",0,0,0,148,166,538,286
Census Tract 51.01; Multnomah County; Oregon,2023,"3,707",0,0,0,309,692,"1,311",1395
Census Tract 51.02; Multnomah County; Oregon,2023,"2,838",0,0,0,184,451,980,1223
Census Tract 51.03; Multnomah County; Oregon,2023,"3,082",96,0,47,1102,665,530,642
Census Tract 52.01; Multnomah County; Oregon,2023,"1,937",0,12,19,325,459,603,519
Census Tract 52.02; Multnomah County; Oregon,2023,"2,436",40,0,0,237,436,946,777
Census Tract 55; Multnomah County; Oregon,2023,"1,888",45,0,0,206,445,696,496
Census Tract 56.01; Multnomah County; Oregon,2023,"2,166",104,109,54,257,425,673,544
Census Tract 56.02; Multnomah County; Oregon,2023,871,0,0,40,206,332,165,128
Census Tract 57.01; Multnomah County; Oregon,2023,407,0,0,0,71,45,130,161
Census Tract 57.02; Multnomah County; Oregon,2023,"3,610",16,0,0,273,757,"1,256",1308
Census Tract 58; Multnomah County; Oregon,2023,"3,571",21,0,28,143,701,"1,276",1402
Census Tract 59.01; Multnomah County; Oregon,2023,"1,955",13,0,0,115,496,799,532
Census Tract 59.02; Multnomah County; Oregon,2023,"3,293",9,0,0,153,532,"1,035",1564
Census Tract 59.03; Multnomah County; Oregon,2023,"2,816",0,0,0,148,602,"1,202",864
Census Tract 60.01; Multnomah County; Oregon,2023,"1,212",0,0,0,46,186,561,419
Census Tract 60.02; Multnomah County; Oregon,2023,"1,689",0,0,0,171,287,727,504
Census Tract 61; Multnomah County; Oregon,2023,"1,817",0,0,0,50,141,809,817
Census Tract 62; Multnomah County; Oregon,2023,"2,481",1,0,6,135,452,"1,225",662
Census Tract 63; Multnomah County; Oregon,2023,"3,372",34,0,0,187,528,"1,460",1163
Census Tract 64.02; Multnomah County; Oregon,2023,"4,611",0,0,0,297,833,"1,804",1677
Census Tract 64.03; Multnomah County; Oregon,2023,"3,001",84,0,56,336,925,"1,061",539
Census Tract 64.04; Multnomah County; Oregon,2023,"2,734",0,0,0,274,792,951,717
Census Tract 65.01; Multnomah County; Oregon,2023,"4,448",0,0,0,371,1261,"1,779",1037
Census Tract 65.02; Multnomah County; Oregon,2023,"3,833",21,0,0,237,1374,"1,489",712
Census Tract 66.01; Multnomah County; Oregon,2023,"2,183",0,0,0,128,541,986,528
Census Tract 66.02; Multnomah County; Oregon,2023,"4,353",154,0,48,482,1128,"1,381",1160
Census Tract 67.01; Multnomah County; Oregon,2023,"2,365",0,0,0,243,357,"1,005",760
Census Tract 67.02; Multnomah County; Oregon,2023,"2,440",18,14,0,232,634,986,556
Census Tract 68.01; Multnomah County; Oregon,2023,"1,529",0,0,12,221,207,501,588
Census Tract 68.02; Multnomah County; Oregon,2023,"2,546",18,0,0,157,323,"1,020",1028
Census Tract 69; Multnomah County; Oregon,2023,"2,310",0,0,0,136,256,975,943
Census Tract 70.01; Multnomah County; Oregon,2023,"4,037",0,0,0,103,449,"1,688",1797
Census Tract 70.02; Multnomah County; Oregon,2023,"2,213",5,10,0,101,360,924,813
Census Tract 71; Multnomah County; Oregon,2023,"2,109",0,21,0,388,729,553,418
Census Tract 72.01; Multnomah County; Oregon,2023,"2,029",8,14,35,424,758,425,365
Census Tract 72.02; Multnomah County; Oregon,2023,"2,652",59,61,114,452,856,845,265
Census Tract 73; Multnomah County; Oregon,2023,"1,142",4,6,5,606,439,44,38
Census Tract 74; Multnomah County; Oregon,2023,"2,439",91,70,139,455,662,753,269
Census Tract 75; Multnomah County; Oregon,2023,"3,550",23,4,0,841,817,"1,089",776
Census Tract 76; Multnomah County; Oregon,2023,"2,527",55,114,136,369,629,823,401
Census Tract 77; Multnomah County; Oregon,2023,"1,688",43,0,62,458,435,572,118
Census Tract 78; Multnomah County; Oregon,2023,"1,521",34,1,34,472,416,415,149
Census Tract 79; Multnomah County; Oregon,2023,"3,216",92,48,122,968,938,738,310
Census Tract 80.01; Multnomah County; Oregon,2023,"2,460",128,0,24,894,585,660,169
Census Tract 80.02; Multnomah County; Oregon,2023,"2,388",100,0,70,727,799,514,178
Census Tract 81; Multnomah County; Oregon,2023,"5,834",93,10,128,2591,1500,"1,147",365
Census Tract 82.01; Multnomah County; Oregon,2023,"2,547",154,58,4,567,824,626,314
Census Tract 82.03; Multnomah County; Oregon,2023,"3,828",0,65,42,1221,1531,666,303
Census Tract 82.04; Multnomah County; Oregon,2023,"1,694",148,26,32,830,504,94,60
Census Tract 83.01; Multnomah County; Oregon,2023,"3,029",216,43,172,930,690,713,265
Census Tract 83.02; Multnomah County; Oregon,2023,"3,668",156,66,33,1172,1192,657,392
Census Tract 84; Multnomah County; Oregon,2023,"3,609",231,8,157,1178,1216,638,181
Census Tract 85; Multnomah County; Oregon,2023,"2,811",188,0,35,948,988,455,197
Census Tract 86; Multnomah County; Oregon,2023,"2,687",145,11,51,799,944,484,253
Census Tract 87; Multnomah County; Oregon,2023,"3,447",157,8,25,975,774,"1,020",488
Census Tract 88; Multnomah County; Oregon,2023,"3,141",124,0,21,917,953,709,417
Census Tract 89.02; Multnomah County; Oregon,2023,"3,124",86,39,14,1151,960,666,208
Census Tract 89.03; Multnomah County; Oregon,2023,"3,552",184,0,24,794,1260,634,656
Census Tract 89.04; Multnomah County; Oregon,2023,"3,354",151,148,70,954,922,773,336
Census Tract 90.01; Multnomah County; Oregon,2023,"3,528",61,0,54,1932,1021,342,118
Census Tract 90.02; Multnomah County; Oregon,2023,"3,008",103,55,24,1106,1241,381,98
Census Tract 91.01; Multnomah County; Oregon,2023,"4,155",272,88,166,1555,1286,658,130
Census Tract 91.02; Multnomah County; Oregon,2023,"4,573",244,52,82,1828,1390,539,438
Census Tract 92.02; Multnomah County; Oregon,2023,"4,078",105,146,114,1589,1472,390,262
Census Tract 92.03; Multnomah County; Oregon,2023,"2,342",113,177,37,668,540,464,343
Census Tract 92.04; Multnomah County; Oregon,2023,"3,135",189,0,12,1114,1101,585,134
Census Tract 93.01; Multnomah County; Oregon,2023,"4,119",87,0,111,1583,1520,647,171
Census Tract 93.02; Multnomah County; Oregon,2023,"3,715",113,0,0,986,1313,914,389
Census Tract 94; Multnomah County; Oregon,2023,"5,569",108,50,59,1259,2137,"1,358",598
Census Tract 95.01; Multnomah County; Oregon,2023,"3,275",165,19,23,1118,1068,599,283
Census Tract 95.02; Multnomah County; Oregon,2023,"2,672",96,0,26,806,775,670,299
Census Tract 96.03; Multnomah County; Oregon,2023,"2,518",99,7,70,1086,858,238,160
Census Tract 96.04; Multnomah County; Oregon,2023,"3,630",252,144,130,1219,1214,579,92
Census Tract 96.05; Multnomah County; Oregon,2023,"3,880",67,0,53,1566,1406,557,231
Census Tract 96.06; Multnomah County; Oregon,2023,"3,443",157,11,340,1445,887,391,212
Census Tract 97.01; Multnomah County; Oregon,2023,"2,968",86,4,27,1202,1109,196,344
Census Tract 97.03; Multnomah County; Oregon,2023,"3,663",115,0,282,1405,1242,400,219
Census Tract 97.04; Multnomah County; Oregon,2023,"2,631",15,16,372,1009,795,353,71
Census Tract 98.01; Multnomah County; Oregon,2023,"2,409",170,42,6,600,1083,330,178
Census Tract 98.03; Multnomah County; Oregon,2023,"4,779",262,158,75,1741,1681,671,191
Census Tract 98.04; Multnomah County; Oregon,2023,"2,321",292,0,126,776,756,230,141
Census Tract 99.03; Multnomah County; Oregon,2023,"6,178",152,0,82,1751,2381,"1,156",656
Census Tract 99.04; Multnomah County; Oregon,2023,"2,482",32,42,44,740,1077,292,255
Census Tract 99.05; Multnomah County; Oregon,2023,"2,366",0,0,31,638,1065,389,243
Census Tract 99.06; Multnomah County; Oregon,2023,"2,910",34,21,0,528,1058,945,324
Census Tract 99.07; Multnomah County; Oregon,2023,"3,896",65,33,43,1430,1175,510,640
Census Tract 100.01; Multnomah County; Oregon,2023,"4,306",77,0,143,1538,1431,602,515
Census Tract 100.02; Multnomah County; Oregon,2023,"4,041",76,0,37,1122,1677,793,336
Census Tract 101.01; Multnomah County; Oregon,2023,"2,745",5,106,115,730,1187,390,212
Census Tract 101.02; Multnomah County; Oregon,2023,"3,512",57,234,110,1014,1067,725,305
Census Tract 102; Multnomah County; Oregon,2023,"5,283",112,263,26,1482,2164,959,277
Census Tract 103.03; Multnomah County; Oregon,2023,"3,983",112,35,117,1304,1206,713,496
Census Tract 103.04; Multnomah County; Oregon,2023,"3,344",159,82,332,1358,931,283,199
Census Tract 103.05; Multnomah County; Oregon,2023,"2,484",91,11,10,668,1035,476,193
Census Tract 103.06; Multnomah County; Oregon,2023,"3,076",82,0,0,978,1162,705,149
Census Tract 104.02; Multnomah County; Oregon,2023,"4,078",87,83,58,1175,1572,738,365
Census Tract 104.05; Multnomah County; Oregon,2023,"3,968",57,60,0,1540,1571,412,328
Census Tract 104.07; Multnomah County; Oregon,2023,"4,030",34,0,65,1260,1750,626,295
Census Tract 104.08; Multnomah County; Oregon,2023,"4,591",47,40,312,1817,1452,777,146
Census Tract 104.10; Multnomah County; Oregon,2023,"3,190",35,0,94,1531,1052,223,255
Census Tract 104.11; Multnomah County; Oregon,2023,"2,656",38,0,0,1271,931,236,180
Census Tract 104.12; Multnomah County; Oregon,2023,"2,248",10,0,0,711,664,646,217
Census Tract 104.13; Multnomah County; Oregon,2023,"3,381",90,65,71,840,1285,540,490
Census Tract 105; Multnomah County; Oregon,2023,"2,970",14,0,6,767,896,915,372
Census Tract 106.01; Multnomah County; Oregon,2023,"1,274",26,0,2,108,503,272,363
Census Tract 106.02; Multnomah County; Oregon,2023,"1,917",0,0,0,557,823,385,152
Census Tract 9800; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0
