Census Tract,Year,House Total,Under 50K,50K-100K,100K-250K,250K-500K,500K-1M,1M-1.5M,1.5M-2M,2M+
Census Tract 90.02; Multnomah County; Oregon,2022,587,0,66,11,460,50,0,0,0
Census Tract 91.01; Multnomah County; Oregon,2022,1181,109,43,199,658,172,0,0,0
Census Tract 91.02; Multnomah County; Oregon,2022,1697,98,25,353,968,253,0,0,0
Census Tract 92.02; Multnomah County; Oregon,2022,1065,27,0,166,776,88,0,0,8
Census Tract 92.03; Multnomah County; Oregon,2022,818,73,17,58,602,68,0,0,0
Census Tract 92.04; Multnomah County; Oregon,2022,898,25,0,129,622,98,0,0,24
Census Tract 93.01; Multnomah County; Oregon,2022,898,42,0,134,575,147,0,0,0
Census Tract 93.02; Multnomah County; Oregon,2022,1003,43,7,100,743,110,0,0,0
Census Tract 94; Multnomah County; Oregon,2022,2510,19,0,156,1946,389,0,0,0
Census Tract 95.01; Multnomah County; Oregon,2022,1287,62,16,109,702,398,0,0,0
Census Tract 95.02; Multnomah County; Oregon,2022,969,23,0,7,679,260,0,0,0
Census Tract 96.03; Multnomah County; Oregon,2022,876,12,0,120,736,8,0,0,0
Census Tract 96.04; Multnomah County; Oregon,2022,959,113,86,154,606,0,0,0,0
Census Tract 96.05; Multnomah County; Oregon,2022,1308,0,0,36,788,484,0,0,0
Census Tract 96.06; Multnomah County; Oregon,2022,753,36,0,76,624,10,7,0,0
Census Tract 97.01; Multnomah County; Oregon,2022,1157,0,2,174,931,50,0,0,0
Census Tract 97.03; Multnomah County; Oregon,2022,1091,139,48,160,655,89,0,0,0
Census Tract 97.04; Multnomah County; Oregon,2022,1016,29,0,36,912,39,0,0,0
Census Tract 98.01; Multnomah County; Oregon,2022,459,100,49,29,256,15,10,0,0
Census Tract 98.03; Multnomah County; Oregon,2022,1261,30,14,232,940,45,0,0,0
Census Tract 98.04; Multnomah County; Oregon,2022,679,51,23,60,505,40,0,0,0
Census Tract 99.03; Multnomah County; Oregon,2022,2262,0,0,78,1092,1057,18,0,17
Census Tract 99.04; Multnomah County; Oregon,2022,878,12,0,186,555,125,0,0,0
Census Tract 99.05; Multnomah County; Oregon,2022,863,32,0,7,751,73,0,0,0
Census Tract 99.06; Multnomah County; Oregon,2022,1344,23,3,10,803,505,0,0,0
Census Tract 99.07; Multnomah County; Oregon,2022,1547,14,11,52,697,718,55,0,0
Census Tract 100.01; Multnomah County; Oregon,2022,791,21,28,24,534,146,19,0,19
Census Tract 100.02; Multnomah County; Oregon,2022,1317,20,0,55,1060,158,0,0,24
Census Tract 101.01; Multnomah County; Oregon,2022,856,115,14,83,620,24,0,0,0
Census Tract 101.02; Multnomah County; Oregon,2022,688,0,0,57,539,92,0,0,0
Census Tract 102; Multnomah County; Oregon,2022,1965,284,91,179,1125,221,65,0,0
Census Tract 103.03; Multnomah County; Oregon,2022,1145,61,46,65,811,130,0,0,32
Census Tract 103.04; Multnomah County; Oregon,2022,837,224,11,99,401,102,0,0,0
Census Tract 103.05; Multnomah County; Oregon,2022,990,82,54,58,668,121,7,0,0
Census Tract 103.06; Multnomah County; Oregon,2022,1306,0,0,60,1098,148,0,0,0
Census Tract 104.02; Multnomah County; Oregon,2022,1523,0,12,37,699,730,45,0,0
Census Tract 104.05; Multnomah County; Oregon,2022,1146,0,0,14,980,152,0,0,0
Census Tract 104.07; Multnomah County; Oregon,2022,1184,49,9,19,767,331,9,0,0
Census Tract 104.08; Multnomah County; Oregon,2022,1404,221,121,77,730,229,26,0,0
Census Tract 104.10; Multnomah County; Oregon,2022,655,20,0,142,457,36,0,0,0
Census Tract 104.11; Multnomah County; Oregon,2022,697,46,60,152,421,18,0,0,0
Census Tract 104.12; Multnomah County; Oregon,2022,837,11,9,8,485,324,0,0,0
Census Tract 104.13; Multnomah County; Oregon,2022,1157,0,0,59,698,400,0,0,0
Census Tract 105; Multnomah County; Oregon,2022,1149,22,0,69,206,773,79,0,0
Census Tract 106.01; Multnomah County; Oregon,2022,268,0,0,15,122,81,0,50,0
Census Tract 106.02; Multnomah County; Oregon,2022,26,0,0,0,26,0,0,0,0
Census Tract 9800; Multnomah County; Oregon,2022,0,0,0,0,0,0,0,0,0
Census Tract 1.01; Multnomah County; Oregon,2023,716,45,0,0,209,387,75,0,0
Census Tract 1.02; Multnomah County; Oregon,2023,1043,0,24,43,183,693,100,0,0
Census Tract 2.01; Multnomah County; Oregon,2023,834,11,0,0,74,704,45,0,0
Census Tract 2.02; Multnomah County; Oregon,2023,726,16,0,0,88,572,50,0,0
Census Tract 3.01; Multnomah County; Oregon,2023,1026,0,0,0,147,830,45,4,0
Census Tract 3.02; Multnomah County; Oregon,2023,2504,13,0,20,197,1694,551,29,0
Census Tract 4.01; Multnomah County; Oregon,2023,1118,6,0,8,302,779,23,0,0
Census Tract 4.02; Multnomah County; Oregon,2023,1108,10,0,37,485,571,5,0,0
Census Tract 5.01; Multnomah County; Oregon,2023,1274,0,20,9,787,436,12,0,10
Census Tract 5.02; Multnomah County; Oregon,2023,1257,18,0,22,759,458,0,0,0
Census Tract 6.01; Multnomah County; Oregon,2023,1584,1,0,52,1022,482,16,0,11
Census Tract 6.02; Multnomah County; Oregon,2023,1218,18,0,24,871,305,0,0,0
Census Tract 7.01; Multnomah County; Oregon,2023,1347,0,27,58,637,625,0,0,0
Census Tract 7.02; Multnomah County; Oregon,2023,1283,0,15,11,669,573,15,0,0
Census Tract 8.01; Multnomah County; Oregon,2023,1278,12,0,0,212,1037,17,0,0
Census Tract 8.02; Multnomah County; Oregon,2023,1222,0,0,0,502,720,0,0,0
Census Tract 9.01; Multnomah County; Oregon,2023,840,0,0,9,124,601,92,14,0
Census Tract 9.02; Multnomah County; Oregon,2023,702,0,8,0,199,495,0,0,0
Census Tract 10; Multnomah County; Oregon,2023,1111,12,23,0,269,763,44,0,0
Census Tract 11.01; Multnomah County; Oregon,2023,144,0,0,0,41,86,17,0,0
Census Tract 11.02; Multnomah County; Oregon,2023,351,0,0,0,19,261,42,0,29
Census Tract 12.02; Multnomah County; Oregon,2023,901,10,0,0,94,422,355,0,20
Census Tract 12.03; Multnomah County; Oregon,2023,415,0,0,0,84,331,0,0,0
Census Tract 12.04; Multnomah County; Oregon,2023,227,0,7,11,34,162,13,0,0
Census Tract 13.01; Multnomah County; Oregon,2023,716,7,0,46,200,417,46,0,0
Census Tract 13.02; Multnomah County; Oregon,2023,925,0,0,7,88,786,44,0,0
Census Tract 14; Multnomah County; Oregon,2023,1627,0,47,30,331,1146,73,0,0
Census Tract 15; Multnomah County; Oregon,2023,1124,0,9,0,47,953,73,23,19
Census Tract 16.01; Multnomah County; Oregon,2023,1720,25,0,26,368,1139,147,15,0
Census Tract 16.02; Multnomah County; Oregon,2023,1596,63,29,0,1265,239,0,0,0
Census Tract 17.02; Multnomah County; Oregon,2023,1000,0,0,19,679,297,0,0,5
Census Tract 17.03; Multnomah County; Oregon,2023,1060,25,0,89,444,502,0,0,0
Census Tract 17.04; Multnomah County; Oregon,2023,911,0,0,214,161,536,0,0,0
Census Tract 18.01; Multnomah County; Oregon,2023,736,0,0,0,312,424,0,0,0
Census Tract 18.02; Multnomah County; Oregon,2023,879,0,0,8,174,639,47,11,0
Census Tract 19; Multnomah County; Oregon,2023,1651,0,0,11,51,1110,388,76,15
Census Tract 20.01; Multnomah County; Oregon,2023,428,0,6,61,58,242,40,21,0
Census Tract 20.02; Multnomah County; Oregon,2023,384,31,0,0,81,242,30,0,0
Census Tract 21.01; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0,0
Census Tract 21.02; Multnomah County; Oregon,2023,86,0,0,7,20,59,0,0,0
Census Tract 22.03; Multnomah County; Oregon,2023,675,0,1,0,72,522,56,24,0
Census Tract 23.03; Multnomah County; Oregon,2023,202,0,0,66,9,127,0,0,0
Census Tract 24.01; Multnomah County; Oregon,2023,898,0,4,84,0,544,232,26,8
Census Tract 24.02; Multnomah County; Oregon,2023,562,0,0,6,219,260,59,0,18
Census Tract 25.01; Multnomah County; Oregon,2023,1606,8,0,7,40,937,503,102,9
Census Tract 25.02; Multnomah County; Oregon,2023,762,14,0,10,138,328,211,31,30
Census Tract 26; Multnomah County; Oregon,2023,1033,0,108,0,39,704,182,0,0
Census Tract 27.01; Multnomah County; Oregon,2023,1105,0,0,0,14,883,161,47,0
Census Tract 27.02; Multnomah County; Oregon,2023,675,0,0,9,54,595,8,9,0
Census Tract 28.01; Multnomah County; Oregon,2023,1071,5,13,0,62,846,138,0,7
Census Tract 28.02; Multnomah County; Oregon,2023,888,7,0,6,142,701,32,0,0
Census Tract 29.01; Multnomah County; Oregon,2023,1537,0,0,29,500,1008,0,0,0
Census Tract 29.02; Multnomah County; Oregon,2023,1921,0,0,0,814,1097,10,0,0
Census Tract 29.03; Multnomah County; Oregon,2023,1016,0,0,0,713,253,50,0,0
Census Tract 30; Multnomah County; Oregon,2023,1763,0,30,0,153,1559,21,0,0
Census Tract 31; Multnomah County; Oregon,2023,1385,23,0,0,65,1000,243,37,17
Census Tract 32; Multnomah County; Oregon,2023,1159,17,22,0,88,904,90,38,0
Census Tract 33.01; Multnomah County; Oregon,2023,572,0,9,28,105,396,34,0,0
Census Tract 33.02; Multnomah County; Oregon,2023,935,7,7,0,126,685,110,0,0
Census Tract 34.01; Multnomah County; Oregon,2023,700,0,7,0,103,558,32,0,0
Census Tract 34.02; Multnomah County; Oregon,2023,616,22,0,0,231,363,0,0,0
Census Tract 35.01; Multnomah County; Oregon,2023,972,67,0,0,268,600,37,0,0
Census Tract 35.02; Multnomah County; Oregon,2023,641,0,0,9,108,456,68,0,0
Census Tract 36.01; Multnomah County; Oregon,2023,1235,93,0,114,204,757,67,0,0
Census Tract 36.02; Multnomah County; Oregon,2023,2093,25,0,15,440,1613,0,0,0
Census Tract 36.03; Multnomah County; Oregon,2023,546,0,8,0,104,392,30,0,12
Census Tract 37.01; Multnomah County; Oregon,2023,1029,0,7,8,265,749,0,0,0
Census Tract 37.02; Multnomah County; Oregon,2023,718,29,0,9,137,455,88,0,0
Census Tract 38.01; Multnomah County; Oregon,2023,751,0,0,11,280,460,0,0,0
Census Tract 38.02; Multnomah County; Oregon,2023,889,11,0,7,268,603,0,0,0
Census Tract 38.03; Multnomah County; Oregon,2023,1100,0,0,43,271,786,0,0,0
Census Tract 39.02; Multnomah County; Oregon,2023,1175,9,9,9,213,911,8,0,16
Census Tract 39.03; Multnomah County; Oregon,2023,678,7,0,5,332,334,0,0,0
Census Tract 39.04; Multnomah County; Oregon,2023,1347,12,15,5,454,861,0,0,0
Census Tract 40.02; Multnomah County; Oregon,2023,1232,0,0,0,512,709,11,0,0
Census Tract 40.03; Multnomah County; Oregon,2023,1675,13,31,90,1004,537,0,0,0
Census Tract 41.02; Multnomah County; Oregon,2023,1704,0,13,46,994,631,0,0,20
Census Tract 41.03; Multnomah County; Oregon,2023,1159,6,0,36,799,318,0,0,0
Census Tract 41.04; Multnomah County; Oregon,2023,555,16,16,13,319,191,0,0,0
Census Tract 42; Multnomah County; Oregon,2023,891,4,10,100,531,246,0,0,0
Census Tract 43; Multnomah County; Oregon,2023,426,0,0,4,130,188,95,9,0
Census Tract 45; Multnomah County; Oregon,2023,654,0,0,0,55,343,190,57,9
Census Tract 46.01; Multnomah County; Oregon,2023,1333,15,0,16,125,479,328,250,120
Census Tract 46.02; Multnomah County; Oregon,2023,623,0,6,26,22,203,223,70,73
Census Tract 47; Multnomah County; Oregon,2023,582,0,0,0,94,177,240,58,13
Census Tract 48; Multnomah County; Oregon,2023,188,0,0,0,54,79,44,11,0
Census Tract 49.01; Multnomah County; Oregon,2023,256,0,0,24,60,91,58,23,0
Census Tract 49.02; Multnomah County; Oregon,2023,135,0,0,0,47,29,59,0,0
Census Tract 50.01; Multnomah County; Oregon,2023,563,0,0,0,281,236,29,17,0
Census Tract 50.02; Multnomah County; Oregon,2023,158,14,0,90,13,21,20,0,0
Census Tract 51.01; Multnomah County; Oregon,2023,722,0,0,15,170,336,201,0,0
Census Tract 51.02; Multnomah County; Oregon,2023,684,0,0,20,254,284,95,0,31
Census Tract 51.03; Multnomah County; Oregon,2023,383,0,0,0,274,50,59,0,0
Census Tract 52.01; Multnomah County; Oregon,2023,25,0,0,25,0,0,0,0,0
Census Tract 52.02; Multnomah County; Oregon,2023,491,0,0,0,223,195,29,29,15
Census Tract 55; Multnomah County; Oregon,2023,381,13,0,42,163,148,0,15,0
Census Tract 56.01; Multnomah County; Oregon,2023,346,14,0,20,114,177,21,0,0
Census Tract 56.02; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0,0
Census Tract 57.01; Multnomah County; Oregon,2023,39,0,0,0,0,33,0,0,6
Census Tract 57.02; Multnomah County; Oregon,2023,849,0,0,0,428,391,12,18,0
Census Tract 58; Multnomah County; Oregon,2023,1211,0,0,27,74,624,351,69,66
Census Tract 59.01; Multnomah County; Oregon,2023,400,0,10,28,48,304,10,0,0
Census Tract 59.02; Multnomah County; Oregon,2023,779,22,0,13,92,522,83,47,0
Census Tract 59.03; Multnomah County; Oregon,2023,1006,0,0,8,549,406,43,0,0
Census Tract 60.01; Multnomah County; Oregon,2023,410,0,0,14,37,231,104,5,19
Census Tract 60.02; Multnomah County; Oregon,2023,746,0,5,5,51,650,35,0,0
Census Tract 61; Multnomah County; Oregon,2023,829,0,0,0,64,561,190,9,5
Census Tract 62; Multnomah County; Oregon,2023,1124,0,8,0,215,813,76,0,12
Census Tract 63; Multnomah County; Oregon,2023,1617,0,9,19,136,783,222,139,309
Census Tract 64.02; Multnomah County; Oregon,2023,2261,14,0,123,315,1522,278,0,9
Census Tract 64.03; Multnomah County; Oregon,2023,963,0,0,52,219,664,28,0,0
Census Tract 64.04; Multnomah County; Oregon,2023,1233,0,19,65,459,603,87,0,0
Census Tract 65.01; Multnomah County; Oregon,2023,2110,0,0,0,629,1340,89,37,15
Census Tract 65.02; Multnomah County; Oregon,2023,1234,24,0,44,452,645,55,0,14
Census Tract 66.01; Multnomah County; Oregon,2023,991,0,8,12,184,742,36,9,0
Census Tract 66.02; Multnomah County; Oregon,2023,1119,19,0,16,128,840,116,0,0
Census Tract 67.01; Multnomah County; Oregon,2023,861,15,0,0,129,675,42,0,0
Census Tract 67.02; Multnomah County; Oregon,2023,722,0,9,21,158,495,39,0,0
Census Tract 68.01; Multnomah County; Oregon,2023,614,0,0,0,37,429,148,0,0
Census Tract 68.02; Multnomah County; Oregon,2023,1112,0,0,0,70,820,202,8,12
Census Tract 69; Multnomah County; Oregon,2023,1049,8,15,56,20,328,305,124,193
Census Tract 70.01; Multnomah County; Oregon,2023,1999,0,23,0,449,901,575,32,19
Census Tract 70.02; Multnomah County; Oregon,2023,954,0,0,28,26,298,361,148,93
Census Tract 71; Multnomah County; Oregon,2023,936,26,9,56,181,474,143,28,19
Census Tract 72.01; Multnomah County; Oregon,2023,1034,170,124,162,314,196,68,0,0
Census Tract 72.02; Multnomah County; Oregon,2023,932,48,56,66,410,292,35,15,10
Census Tract 73; Multnomah County; Oregon,2023,100,0,0,33,13,49,5,0,0
Census Tract 74; Multnomah County; Oregon,2023,696,90,56,9,254,274,8,0,5
Census Tract 75; Multnomah County; Oregon,2023,1408,36,0,19,588,700,51,0,14
Census Tract 76; Multnomah County; Oregon,2023,836,67,6,10,459,280,14,0,0
Census Tract 77; Multnomah County; Oregon,2023,688,47,34,106,451,41,0,0,9
Census Tract 78; Multnomah County; Oregon,2023,519,9,0,8,236,266,0,0,0
Census Tract 79; Multnomah County; Oregon,2023,976,9,4,29,591,343,0,0,0
Census Tract 80.01; Multnomah County; Oregon,2023,947,15,0,71,683,167,11,0,0
Census Tract 80.02; Multnomah County; Oregon,2023,773,14,0,19,597,143,0,0,0
Census Tract 81; Multnomah County; Oregon,2023,1258,80,10,103,916,149,0,0,0
Census Tract 82.01; Multnomah County; Oregon,2023,643,7,0,0,361,275,0,0,0
Census Tract 82.03; Multnomah County; Oregon,2023,716,0,19,29,576,92,0,0,0
Census Tract 82.04; Multnomah County; Oregon,2023,651,0,104,127,388,32,0,0,0
Census Tract 83.01; Multnomah County; Oregon,2023,677,23,0,63,550,41,0,0,0
Census Tract 83.02; Multnomah County; Oregon,2023,922,34,26,38,740,84,0,0,0
Census Tract 84; Multnomah County; Oregon,2023,787,18,53,74,547,95,0,0,0
Census Tract 85; Multnomah County; Oregon,2023,947,0,9,61,712,165,0,0,0
Census Tract 86; Multnomah County; Oregon,2023,1046,118,0,24,749,155,0,0,0
Census Tract 87; Multnomah County; Oregon,2023,1342,43,0,78,873,348,0,0,0
Census Tract 88; Multnomah County; Oregon,2023,1150,8,0,37,855,240,0,0,10
Census Tract 89.02; Multnomah County; Oregon,2023,646,15,0,18,281,322,10,0,0
Census Tract 89.03; Multnomah County; Oregon,2023,1531,28,0,9,615,865,0,0,14
Census Tract 89.04; Multnomah County; Oregon,2023,860,25,34,30,384,387,0,0,0
Census Tract 90.01; Multnomah County; Oregon,2023,1210,62,8,129,878,133,0,0,0
Census Tract 90.02; Multnomah County; Oregon,2023,504,0,0,14,393,97,0,0,0
Census Tract 91.01; Multnomah County; Oregon,2023,1083,135,4,186,584,174,0,0,0
Census Tract 91.02; Multnomah County; Oregon,2023,1787,130,30,318,989,303,17,0,0
Census Tract 92.02; Multnomah County; Oregon,2023,967,0,0,141,741,78,0,0,7
Census Tract 92.03; Multnomah County; Oregon,2023,804,35,61,62,489,157,0,0,0
Census Tract 92.04; Multnomah County; Oregon,2023,816,9,0,103,564,140,0,0,0
Census Tract 93.01; Multnomah County; Oregon,2023,920,13,0,133,536,238,0,0,0
Census Tract 93.02; Multnomah County; Oregon,2023,1068,35,14,102,733,184,0,0,0
Census Tract 94; Multnomah County; Oregon,2023,2560,19,0,115,1681,745,0,0,0
Census Tract 95.01; Multnomah County; Oregon,2023,1234,66,17,111,618,422,0,0,0
Census Tract 95.02; Multnomah County; Oregon,2023,912,23,0,6,545,338,0,0,0
Census Tract 96.03; Multnomah County; Oregon,2023,810,11,0,87,680,32,0,0,0
Census Tract 96.04; Multnomah County; Oregon,2023,1049,136,88,85,667,73,0,0,0
Census Tract 96.05; Multnomah County; Oregon,2023,1054,0,0,37,535,482,0,0,0
Census Tract 96.06; Multnomah County; Oregon,2023,753,28,0,27,670,21,7,0,0
Census Tract 97.01; Multnomah County; Oregon,2023,1098,17,2,57,902,120,0,0,0
Census Tract 97.03; Multnomah County; Oregon,2023,1056,79,87,159,631,100,0,0,0
Census Tract 97.04; Multnomah County; Oregon,2023,1007,26,0,0,913,68,0,0,0
Census Tract 98.01; Multnomah County; Oregon,2023,488,82,51,8,288,48,11,0,0
Census Tract 98.03; Multnomah County; Oregon,2023,1408,30,0,188,993,197,0,0,0
Census Tract 98.04; Multnomah County; Oregon,2023,567,47,16,38,422,44,0,0,0
Census Tract 99.03; Multnomah County; Oregon,2023,2245,0,0,17,716,1450,42,0,20
Census Tract 99.04; Multnomah County; Oregon,2023,873,9,0,173,445,246,0,0,0
Census Tract 99.05; Multnomah County; Oregon,2023,892,22,0,7,551,312,0,0,0
Census Tract 99.06; Multnomah County; Oregon,2023,1275,18,25,0,634,598,0,0,0
Census Tract 99.07; Multnomah County; Oregon,2023,1520,13,28,17,691,724,47,0,0
Census Tract 100.01; Multnomah County; Oregon,2023,653,19,21,0,468,126,19,0,0
Census Tract 100.02; Multnomah County; Oregon,2023,1294,19,27,111,671,441,0,0,25
Census Tract 101.01; Multnomah County; Oregon,2023,894,79,0,55,674,86,0,0,0
Census Tract 101.02; Multnomah County; Oregon,2023,669,0,0,62,463,144,0,0,0
Census Tract 102; Multnomah County; Oregon,2023,2004,187,201,208,992,339,77,0,0
Census Tract 103.03; Multnomah County; Oregon,2023,1126,89,76,54,726,137,0,0,44
Census Tract 103.04; Multnomah County; Oregon,2023,912,265,20,99,418,110,0,0,0
Census Tract 103.05; Multnomah County; Oregon,2023,1049,39,56,83,657,204,10,0,0
Census Tract 103.06; Multnomah County; Oregon,2023,1302,9,0,47,994,252,0,0,0
Census Tract 104.02; Multnomah County; Oregon,2023,1445,0,31,47,510,823,34,0,0
Census Tract 104.05; Multnomah County; Oregon,2023,1174,0,0,33,964,177,0,0,0
Census Tract 104.07; Multnomah County; Oregon,2023,1189,31,6,19,710,415,8,0,0
Census Tract 104.08; Multnomah County; Oregon,2023,1432,179,123,100,727,285,18,0,0
Census Tract 104.10; Multnomah County; Oregon,2023,729,11,0,138,495,85,0,0,0
Census Tract 104.11; Multnomah County; Oregon,2023,684,41,30,162,417,34,0,0,0
Census Tract 104.12; Multnomah County; Oregon,2023,981,7,21,4,352,597,0,0,0
Census Tract 104.13; Multnomah County; Oregon,2023,1196,0,0,67,639,490,0,0,0
Census Tract 105; Multnomah County; Oregon,2023,1186,9,8,50,110,905,104,0,0
Census Tract 106.01; Multnomah County; Oregon,2023,303,0,0,40,106,93,0,54,10
Census Tract 106.02; Multnomah County; Oregon,2023,25,0,0,0,25,0,0,0,0
Census Tract 9800; Multnomah County; Oregon,2023,0,0,0,0,0,0,0,0,0
