Label (Grouping),Year,Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Census Tract 1.01, Multnomah County, Oregon!!Estimate",2021,"2,114",0,0,0,0,0,0,0,0,0,1,0,0,0,31,1,98,56,26,269,93,957,359,75,148
"Census Tract 1.02, Multnomah County, Oregon!!Estimate",2021,"2,805",0,0,0,0,0,0,0,0,0,0,0,0,0,23,53,183,59,139,193,129,"1,166",514,226,120
"Census Tract 2.01, Multnomah County, Oregon!!Estimate",2021,"2,515",43,0,0,0,0,0,0,0,0,0,0,0,0,106,17,421,24,30,491,89,811,286,129,68
"Census Tract 2.02, Multnomah County, Oregon!!Estimate",2021,"2,320",16,0,0,0,0,0,17,0,0,0,15,0,16,0,25,161,13,168,450,82,663,499,130,65
"Census Tract 3.01, Multnomah County, Oregon!!Estimate",2021,"3,738",0,0,0,0,0,0,0,0,0,16,15,0,3,42,36,535,121,206,524,306,"1,071",657,105,101
"Census Tract 3.02, Multnomah County, Oregon!!Estimate",2021,"5,331",61,0,0,0,0,0,0,0,0,0,0,8,11,18,0,173,99,140,611,243,"1,777","1,536",436,218
"Census Tract 4.01, Multnomah County, Oregon!!Estimate",2021,"2,628",7,0,0,0,0,10,0,0,10,0,0,0,0,9,0,280,101,128,385,157,819,466,164,92
"Census Tract 4.02, Multnomah County, Oregon!!Estimate",2021,"2,710",0,12,0,0,0,0,0,0,0,0,0,7,0,32,44,318,122,209,311,266,881,376,43,89
"Census Tract 5.01, Multnomah County, Oregon!!Estimate",2021,"3,166",27,0,0,0,0,0,0,18,0,26,95,9,31,38,15,372,116,193,400,180,"1,078",461,30,77
"Census Tract 5.02, Multnomah County, Oregon!!Estimate",2021,"3,813",137,0,0,0,0,17,0,0,0,45,11,4,14,20,16,384,150,347,717,242,"1,113",429,140,27
"Census Tract 6.01, Multnomah County, Oregon!!Estimate",2021,"4,083",97,0,0,0,0,0,15,25,60,0,19,40,40,74,128,913,166,233,662,335,871,342,46,17
"Census Tract 6.02, Multnomah County, Oregon!!Estimate",2021,"4,407",139,0,0,0,0,0,9,0,29,0,114,143,48,54,143,992,371,325,491,338,821,310,64,16
"Census Tract 7.01, Multnomah County, Oregon!!Estimate",2021,"3,757",41,0,0,0,0,28,0,0,0,0,25,8,8,19,116,325,100,112,651,391,"1,226",593,40,74
"Census Tract 7.02, Multnomah County, Oregon!!Estimate",2021,"4,727",238,0,0,0,0,0,0,24,0,0,0,23,15,49,56,569,317,278,601,500,"1,191",619,102,145
"Census Tract 8.01, Multnomah County, Oregon!!Estimate",2021,"3,964",36,0,0,0,0,0,0,16,0,0,0,0,10,16,0,297,145,217,738,281,"1,333",410,409,56
"Census Tract 8.02, Multnomah County, Oregon!!Estimate",2021,"3,729",16,0,0,0,0,0,0,0,33,48,15,113,0,65,0,419,56,239,706,243,"1,367",270,90,49
"Census Tract 9.01, Multnomah County, Oregon!!Estimate",2021,"3,315",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,42,58,393,288,"1,497",683,124,65
"Census Tract 9.02, Multnomah County, Oregon!!Estimate",2021,"4,218",114,0,0,0,21,27,0,8,0,0,105,25,17,122,40,465,63,300,879,208,"1,214",494,69,47
"Census Tract 10, Multnomah County, Oregon!!Estimate",2021,"4,666",91,0,0,0,0,0,0,0,0,0,54,10,0,52,187,297,16,125,948,211,"1,353",847,349,126
"Census Tract 11.01, Multnomah County, Oregon!!Estimate",2021,"2,589",9,0,0,0,0,0,0,0,3,0,0,26,27,11,12,272,86,164,513,137,939,304,72,14
"Census Tract 11.02, Multnomah County, Oregon!!Estimate",2021,"1,140",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,8,41,147,71,450,210,89,41
"Census Tract 12.02, Multnomah County, Oregon!!Estimate",2021,"2,844",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,409,17,113,425,75,943,629,148,84
"Census Tract 12.03, Multnomah County, Oregon!!Estimate",2021,"2,489",0,0,0,0,0,0,0,0,6,0,22,0,0,0,0,282,80,19,382,195,"1,158",290,43,12
"Census Tract 12.04, Multnomah County, Oregon!!Estimate",2021,"2,364",8,0,0,0,0,0,0,0,0,0,79,0,0,9,0,139,106,67,414,43,"1,030",274,14,181
"Census Tract 13.01, Multnomah County, Oregon!!Estimate",2021,"3,343",40,0,0,0,0,5,0,0,0,0,0,0,5,10,18,211,11,86,522,159,"1,510",509,154,103
"Census Tract 13.02, Multnomah County, Oregon!!Estimate",2021,"2,877",10,0,0,0,0,0,0,0,0,0,0,0,14,0,1,94,65,63,344,125,"1,199",649,219,94
"Census Tract 14, Multnomah County, Oregon!!Estimate",2021,"4,906",45,0,0,0,0,0,0,0,0,0,16,0,89,0,43,138,142,141,851,336,"1,932",948,85,140
"Census Tract 15, Multnomah County, Oregon!!Estimate",2021,"2,650",5,0,0,0,0,0,0,0,0,0,0,0,0,8,13,183,1,148,264,171,910,683,125,139
"Census Tract 16.01, Multnomah County, Oregon!!Estimate",2021,"4,396",22,0,0,0,0,10,0,0,0,6,30,42,38,54,128,588,107,225,598,132,"1,420",719,220,57
"Census Tract 16.02, Multnomah County, Oregon!!Estimate",2021,"3,758",81,0,0,0,11,25,0,0,0,0,0,5,44,17,58,645,105,251,478,269,"1,344",363,43,19
"Census Tract 17.02, Multnomah County, Oregon!!Estimate",2021,"2,847",72,0,24,0,0,0,0,0,17,0,6,69,42,0,23,361,51,139,458,349,888,235,74,39
"Census Tract 17.03, Multnomah County, Oregon!!Estimate",2021,"3,217",38,0,0,0,0,0,0,0,0,0,0,0,32,227,0,210,17,167,505,171,"1,118",574,75,83
"Census Tract 17.04, Multnomah County, Oregon!!Estimate",2021,"2,091",15,0,0,0,0,0,0,0,0,0,0,37,0,0,201,431,34,59,292,43,516,317,54,92
"Census Tract 18.01, Multnomah County, Oregon!!Estimate",2021,"3,748",38,3,0,0,24,0,0,3,0,0,0,61,35,19,92,495,135,251,544,128,"1,111",525,178,106
"Census Tract 18.02, Multnomah County, Oregon!!Estimate",2021,"2,861",0,0,0,0,0,0,0,0,10,11,0,36,0,0,25,222,62,91,452,262,"1,029",503,84,74
"Census Tract 19, Multnomah County, Oregon!!Estimate",2021,"3,604",9,0,0,0,0,0,0,8,0,0,4,5,9,16,14,169,83,115,377,131,"1,374",846,315,129
"Census Tract 20.01, Multnomah County, Oregon!!Estimate",2021,"2,105",13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,115,94,53,151,119,"1,163",328,51,7
"Census Tract 20.02, Multnomah County, Oregon!!Estimate",2021,"2,979",5,0,0,0,0,0,0,0,0,0,0,0,27,165,19,141,41,107,453,201,"1,119",541,126,34
"Census Tract 21.01, Multnomah County, Oregon!!Estimate",2021,"1,463",0,0,0,0,0,0,0,0,0,0,20,0,2,20,20,116,23,30,193,0,709,320,0,10
"Census Tract 21.02, Multnomah County, Oregon!!Estimate",2021,"1,895",0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,143,8,9,461,28,901,270,41,17
"Census Tract 22.03, Multnomah County, Oregon!!Estimate",2021,"3,695",10,0,0,0,0,0,0,0,0,0,22,0,0,17,12,350,85,79,368,165,"1,174","1,180",131,102
"Census Tract 23.03, Multnomah County, Oregon!!Estimate",2021,"3,171",9,10,0,0,0,0,0,0,0,0,0,24,0,39,25,314,80,152,588,189,"1,175",415,99,52
"Census Tract 24.01, Multnomah County, Oregon!!Estimate",2021,"2,332",0,0,0,0,0,0,0,0,0,0,15,0,0,48,13,196,8,60,168,67,807,617,184,149
"Census Tract 24.02, Multnomah County, Oregon!!Estimate",2021,"2,845",0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,328,84,91,305,177,"1,240",333,127,128
"Census Tract 25.01, Multnomah County, Oregon!!Estimate",2021,"3,534",14,0,0,0,0,0,0,0,6,0,0,0,0,6,0,125,16,71,242,124,"1,366",905,476,183
"Census Tract 25.02, Multnomah County, Oregon!!Estimate",2021,"3,651",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,112,174,358,220,"1,555",666,272,56
"Census Tract 26, Multnomah County, Oregon!!Estimate",2021,"2,121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,48,34,66,134,168,972,285,190,110
"Census Tract 27.01, Multnomah County, Oregon!!Estimate",2021,"2,166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,111,37,28,282,44,869,560,153,71
"Census Tract 27.02, Multnomah County, Oregon!!Estimate",2021,"2,787",21,0,0,0,0,0,0,18,0,0,0,16,10,28,16,139,35,61,306,141,"1,248",475,169,104
"Census Tract 28.01, Multnomah County, Oregon!!Estimate",2021,"2,450",17,0,0,0,0,0,0,0,0,0,0,0,31,0,46,116,68,62,274,198,"1,062",408,141,27
"Census Tract 28.02, Multnomah County, Oregon!!Estimate",2021,"2,314",4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,239,35,148,305,120,863,396,71,111
"Census Tract 29.01, Multnomah County, Oregon!!Estimate",2021,"3,932",62,0,0,0,0,0,0,12,0,0,0,0,38,0,27,485,84,176,643,333,"1,540",411,68,53
"Census Tract 29.02, Multnomah County, Oregon!!Estimate",2021,"4,877",120,0,0,0,0,0,0,0,0,0,114,36,0,0,36,490,66,226,812,381,"1,325",951,225,95
"Census Tract 29.03, Multnomah County, Oregon!!Estimate",2021,"3,354",116,0,0,0,0,0,48,0,0,0,0,26,0,82,0,550,158,272,605,418,695,303,51,30
"Census Tract 30, Multnomah County, Oregon!!Estimate",2021,"3,867",43,0,0,0,0,0,0,0,0,0,0,15,7,0,0,208,26,349,543,232,"1,414",633,279,118
"Census Tract 31, Multnomah County, Oregon!!Estimate",2021,"4,108",2,0,0,0,0,11,0,0,0,0,7,11,0,11,13,183,172,131,490,352,"1,445",839,305,136
"Census Tract 32, Multnomah County, Oregon!!Estimate",2021,"3,266",0,0,0,0,0,0,0,0,0,21,0,11,25,15,20,265,17,74,241,127,"1,269",763,288,130
"Census Tract 33.01, Multnomah County, Oregon!!Estimate",2021,"2,385",28,0,0,0,0,0,0,0,0,0,7,0,0,18,8,235,120,230,306,159,696,462,43,73
"Census Tract 33.02, Multnomah County, Oregon!!Estimate",2021,"2,947",0,0,0,0,0,0,0,0,0,0,0,56,0,19,23,684,44,186,395,103,766,486,151,34
"Census Tract 34.01, Multnomah County, Oregon!!Estimate",2021,"2,648",7,0,0,0,0,0,0,0,0,0,5,0,6,0,36,248,104,81,198,232,998,434,209,90
"Census Tract 34.02, Multnomah County, Oregon!!Estimate",2021,"3,639",0,0,0,0,0,0,0,0,0,26,1,1,23,1,49,217,41,120,271,194,"1,898",572,151,74
"Census Tract 35.01, Multnomah County, Oregon!!Estimate",2021,"2,828",33,0,0,0,0,0,0,0,0,0,16,0,6,8,0,277,79,142,378,83,"1,321",359,76,50
"Census Tract 35.02, Multnomah County, Oregon!!Estimate",2021,"2,597",10,0,0,0,0,0,0,0,0,0,0,0,0,4,97,451,51,51,237,92,"1,156",281,144,23
"Census Tract 36.01, Multnomah County, Oregon!!Estimate",2021,"3,539",25,0,0,0,0,0,0,0,0,0,0,7,0,11,45,241,42,281,435,285,"1,435",624,70,38
"Census Tract 36.02, Multnomah County, Oregon!!Estimate",2021,"4,947",53,0,0,0,0,1,0,0,1,54,0,0,21,7,52,441,76,192,939,255,"1,855",766,82,152
"Census Tract 36.03, Multnomah County, Oregon!!Estimate",2021,"1,398",71,0,0,0,0,6,0,8,0,7,0,0,18,36,6,186,37,47,180,58,509,158,65,6
"Census Tract 37.01, Multnomah County, Oregon!!Estimate",2021,"3,507",124,0,0,0,42,0,0,0,99,9,24,26,0,20,9,292,40,179,599,210,"1,177",502,95,60
"Census Tract 37.02, Multnomah County, Oregon!!Estimate",2021,"2,131",0,0,0,0,0,17,0,0,0,4,0,13,29,12,9,133,29,25,358,106,849,361,155,31
"Census Tract 38.01, Multnomah County, Oregon!!Estimate",2021,"2,237",19,0,0,0,0,0,0,0,0,0,0,0,0,16,29,220,41,76,448,233,724,360,30,41
"Census Tract 38.02, Multnomah County, Oregon!!Estimate",2021,"2,507",25,0,0,0,0,0,0,0,20,0,16,2,0,3,47,269,81,102,216,341,952,304,58,71
"Census Tract 38.03, Multnomah County, Oregon!!Estimate",2021,"3,250",6,0,0,0,11,0,0,0,0,0,0,0,0,0,38,289,26,130,411,219,"1,525",398,84,113
"Census Tract 39.02, Multnomah County, Oregon!!Estimate",2021,"2,872",0,0,0,0,0,4,0,5,4,4,21,6,9,0,8,309,69,189,396,139,"1,014",434,111,150
"Census Tract 39.03, Multnomah County, Oregon!!Estimate",2021,"3,049",0,0,0,0,0,21,0,0,16,0,0,31,124,0,38,439,174,111,446,115,924,452,158,0
"Census Tract 39.04, Multnomah County, Oregon!!Estimate",2021,"3,413",0,0,0,0,0,0,49,0,29,0,0,0,0,60,41,384,0,243,631,277,"1,162",475,48,14
"Census Tract 40.02, Multnomah County, Oregon!!Estimate",2021,"3,224",15,0,0,0,0,0,0,0,16,0,0,0,9,0,25,348,154,213,411,222,"1,023",629,65,94
"Census Tract 40.03, Multnomah County, Oregon!!Estimate",2021,"4,817",158,0,0,0,0,35,30,32,74,0,24,53,218,218,102,829,157,226,"1,032",212,962,415,15,25
"Census Tract 41.02, Multnomah County, Oregon!!Estimate",2021,"4,107",67,0,0,0,0,0,0,0,15,0,25,0,20,0,108,537,319,200,471,217,"1,416",623,53,36
"Census Tract 41.03, Multnomah County, Oregon!!Estimate",2021,"3,200",20,0,0,0,0,0,0,21,12,0,0,16,26,33,33,505,32,283,298,300,"1,114",386,37,84
"Census Tract 41.04, Multnomah County, Oregon!!Estimate",2021,"2,111",35,0,0,0,0,62,0,64,54,0,0,66,0,9,5,319,122,122,528,117,398,151,59,0
"Census Tract 42, Multnomah County, Oregon!!Estimate",2021,"3,548",14,0,0,0,0,0,0,0,26,0,11,21,9,0,11,416,215,237,540,281,"1,287",295,52,133
"Census Tract 43, Multnomah County, Oregon!!Estimate",2021,824,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,133,5,53,60,36,279,174,49,15
"Census Tract 45, Multnomah County, Oregon!!Estimate",2021,"2,511",38,0,0,0,0,0,0,0,0,0,0,19,0,0,19,74,10,84,325,85,878,511,350,118
"Census Tract 46.01, Multnomah County, Oregon!!Estimate",2021,"2,788",19,0,0,0,0,0,0,0,0,0,0,35,0,0,0,69,31,71,142,80,984,600,563,194
"Census Tract 46.02, Multnomah County, Oregon!!Estimate",2021,"1,550",0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,33,17,23,128,65,583,346,228,116
"Census Tract 47, Multnomah County, Oregon!!Estimate",2021,"3,361",0,0,0,0,0,0,0,20,0,6,12,0,97,0,46,279,37,75,348,63,"1,363",640,209,166
"Census Tract 48, Multnomah County, Oregon!!Estimate",2021,"2,207",1,0,0,0,0,0,0,0,0,0,11,6,0,0,0,223,19,55,381,112,905,286,109,99
"Census Tract 49.01, Multnomah County, Oregon!!Estimate",2021,"2,595",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,84,17,213,262,67,"1,295",451,171,34
"Census Tract 49.02, Multnomah County, Oregon!!Estimate",2021,"1,857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,18,173,195,152,712,274,113,22
"Census Tract 50.01, Multnomah County, Oregon!!Estimate",2021,"2,825",0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,143,35,27,193,115,"1,262",561,291,176
"Census Tract 50.02, Multnomah County, Oregon!!Estimate",2021,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,91,100,389,128,25,74
"Census Tract 51.01, Multnomah County, Oregon!!Estimate",2021,"3,145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,201,57,334,265,985,331,568,216
"Census Tract 51.02, Multnomah County, Oregon!!Estimate",2021,"2,654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,1,0,320,20,911,791,281,92
"Census Tract 51.03, Multnomah County, Oregon!!Estimate",2021,"2,214",0,0,0,0,0,0,0,0,22,0,0,188,156,73,42,344,175,143,328,46,385,284,28,0
"Census Tract 52.01, Multnomah County, Oregon!!Estimate",2021,"1,682",0,0,0,0,0,0,4,12,0,0,12,5,6,32,0,89,107,102,308,233,457,261,54,0
"Census Tract 52.02, Multnomah County, Oregon!!Estimate",2021,"2,320",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,61,0,112,57,"1,189",589,80,96
"Census Tract 55, Multnomah County, Oregon!!Estimate",2021,"2,040",50,0,0,0,0,0,0,0,0,0,9,65,17,10,20,109,77,80,238,132,720,305,154,54
"Census Tract 56.01, Multnomah County, Oregon!!Estimate",2021,"2,234",66,0,0,108,0,0,0,0,16,0,37,0,14,8,0,198,16,111,261,86,737,327,109,140
